artifact_role	path	sha256	notes
paper_source	whitepaper/fostering-cellular-agriculture-white-paper.tex	aea6d05e81729a7cd1c648422daa86a8a139b9d578fe7c229668c56a2dc284ff	LaTeX source for version 2.0
bibliography	whitepaper/references.bib	8cab3585efadd75f970412714459197425e9234ba65709515f15b970780e8d42	BibTeX source for version 2.0
release_pdf	whitepaper/fostering-cellular-agriculture-white-paper.pdf	ceb3b54c9c38d33c34d37c0665eed6ed082e88ffe6c976818882bfa760d50f85	Verified 31-page public artifact
scenario_input	scenarios/ten-claim-instrument-v1-synthetic/ambiguity.cfg	8c37d0bbc479e918070e793a2a92e16ff853f2c36b518bbe054ad7f8cdbc2993	Synthetic input
scenario_input	scenarios/ten-claim-instrument-v1-synthetic/capital-mobilization-frontier-v0.2.cfg	7f6ffe0b3d883efec99c307577ba0d75587088cbc1badecd9a152c281862b368	Synthetic input
scenario_input	scenarios/ten-claim-instrument-v1-synthetic/capital-stack-v0.2.cfg	08e755ecfee05bc091cc240e6b858e693d1eef5d269675bccbd6b66fd377548f	Synthetic input
scenario_input	scenarios/ten-claim-instrument-v1-synthetic/capital-stack.cfg	68252e0deab3c516f21c3ec70e8bcf99cb690947c4c80c045aee78d2c16d278a	Synthetic input
scenario_input	scenarios/ten-claim-instrument-v1-synthetic/event-polytope-v0.2.cfg	5ea761a2567a3a25038efc1dffb1eeec5263366a8deabe5f92a4e0ae40926e28	Synthetic input
scenario_input	scenarios/ten-claim-instrument-v1-synthetic/issue-price-support-v0.2.cfg	0c450194e3dddeb171f83508148f2853392b9009ecf640faebfdcd99037a6f5c	Synthetic input
scenario_input	scenarios/ten-claim-instrument-v1-synthetic/loss-protection.cfg	fda00383ddd3ba61b5887b9ac02275aa844140cafc1ab645708a77efd952cd81	Synthetic input
scenario_input	scenarios/ten-claim-instrument-v1-synthetic/market-priority-cap-v0.2.cfg	bb9426349dc40c6adbcc5c6ab140dc3951107c760631d3f7434553e3e9436f46	Synthetic input
scenario_input	scenarios/ten-claim-instrument-v1-synthetic/portfolio.cfg	2b2eb5e0e523ea6b4c35fe0c0063563b7f57566fdc94b552fef6431ea1d033bf	Synthetic input
scenario_input	scenarios/ten-claim-instrument-v1-synthetic/provider-credit.cfg	98fd3806ba7069a93d1d3f16950cc37326f4e586890367d0e078de8c758bd38c	Synthetic input
scenario_input	scenarios/ten-claim-instrument-v1-synthetic/provider-price.cfg	873c6c45a58e7d8102bd3c1b699788cea349f1485f582c34e06bda19c35419e2	Synthetic input
scenario_input	scenarios/ten-claim-instrument-v1-synthetic/success-participation.cfg	118a21ed4187bacc2641f030b494447650ee4f45651381ce2cb39ab31be0194d	Synthetic input
published_wasm_module	assets/wasm/naturalehia-issue-price-support-browser.mjs	c9417c378ac842de4f56974224bf5fe597afc48a9b833f504b3c20b22ce0acf8	Emscripten browser module retained from the verified quantitative release
published_wasm_binary	assets/wasm/naturalehia-issue-price-support-browser.wasm	1422d9f3512de2c6f8180781990ac46bf7194b1d8f0ca0032cf98a0d3aa27eee	Emscripten WebAssembly binary retained from the verified quantitative release
browser_fixture	assets/instrument-fixture-v1.js	05be52a5e3ae6549f433f9d858b60e2a8963691ecc271b0950a40febbbf2cbe1	Frozen browser result fixture
